,subwatershed,area,perimeter,circulatory_ratio,relief,avg_slope,watershed_length,elongation_ratio,drainage_density,shape_factor,relief_ratio,ruggedness,aae_area,buildings_aae_count,x_area,buildings_x_count,water_bodies_area,dams_count,bridges_count,streets_km,railroads_km,population,population_density,median_income,housing_density,population_change,dependent_population_pct,dist_to_stream_avg,dist_to_stream_stdev,dist_to_stream_skewness,dist_to_stream_kurtosis,levee_length_km,levee_low_crest_elevation_m,lu_21_area,lu_22_area,lu_23_area,lu_24_area,lu_41_area,lu_82_area,avg_impervious_percent,orb100yr06h,orb100yr12h,orb100yr24h,orb25yr06h,orb25yr12h,orb25yr24h,orb2yr06h,orb2yr12h,orb2yr24h,orb50yr06h,orb50yr12h,orb50yr24h,orb100yr06ha_am,orb100yr12ha_am,orb100yr24ha_am,orb25yr06ha_am,orb25yr12ha_am,orb25yr24ha_am,orb2yr06ha_am,orb2yr12ha_am,orb2yr24ha_am,orb50yr06ha_am,orb50yr12ha_am,orb50yr24ha_am,flow_0_exceedence_prob,flow_0.1_exceedence_prob,flow_1_exceedence_prob,flow_10_exceedence_prob,flow_50_exceedence_prob,slope_of_flow_duration_curve,mean_policy,mean_claim,policy_total_building_coverage_avg,claims_total_building_insurance_coverage_avg
10,51202030203,57.83317462,40.46140893,0.443920186,72.510779,4.67405128479,2.020404376,4.247225063999999,1.895780715,0.070582911,0.035889241,0.137464537,5.937188817999999,37,0.0,0,0.214669146,1,12,68.52267931,1.1210771609999999,19086,330.01819680000006,55383.0,4.063411728,-52,34.4,169.583461,113.248015,0.8586356909999999,0.35791434899999996,0.0,0.0,2.090696384,0.155744614,0.0018,0.0,31.56221344,18.21041126,0.25783512,5400,6050,6836,4077,4658,5340,2231,2644,3100,4707,5326,6067,5378,6025,6808,4060,4639,5318,2054,2434,2854,4688,5304,6042,0.061672735,0.023640214,0.008820053000000001,0.002305008,0.00040386800000000004,-0.018305286,109324.4428,22046.2443,24349.345390000002,3603.5747439999996
11,40500011709,47.54468401,37.16732248,0.432503153,71.06312033,1.3172330856323,2.570001248,3.0274202239999997,1.19114437,0.138919977,0.027651006000000002,0.08464643599999999,2.746778073,11,0.0,0,2.430332209,0,7,79.56602416,10.67837869,21269,447.347594,64997.5,21.57969963,-820,43.5,675.6887588999999,467.6841957,0.238129535,-1.408543193,0.0,0.0,1.9254223830000001,1.75111104,0.457707046,0.26743082,2.196474446,31.66210497,2.6349008080000003,4574,5206,5741,3533,4023,4526,1979,2267,2626,4036,4595,5117,4555,5185,5718,3518,4006,4507,1822,2087,2418,4019,4576,5096,0.005945091,0.002766474,0.001387907,0.000518727,0.00018413200000000002,-0.0018412279999999999,148900.843,3616.095828,45916.898389999995,2453.404978
12,51201130801,60.60112743,37.83624759,0.531954455,53.70625305,2.9434452056884997,4.0105560339999995,2.190235545,1.4239156569999998,0.26541683899999996,0.013391223999999998,0.076473175,16.20333351,191,0.0,0,1.044912606,0,6,73.12993817,0.0,10367,171.0694246,64355.0,7.953647407,-312,40.06666667,270.3992239,168.11474730000003,0.402860989,-0.971190401,0.258999292,115.8596,2.579892058,0.6545942370000001,0.11055444199999999,0.015083045,12.16669298,35.97418752,0.71239531,5145,5908,7046,4019,4656,5555,2313,2717,3232,4566,5265,6282,5124,5884,7017,4002,4637,5532,2129,2501,2976,4547,5243,6256,0.010298235,0.008622622,0.005156598,0.002270358,0.000785175,-0.004362127,132518.8626,3660.212529,47118.1516,16577.42921
13,40500010701,76.04905251,47.82572295,0.41781168700000004,37.58786011,1.4064925909042,4.522057371,2.176035094,0.76316974,0.268892277,0.008312115,0.028685917000000002,2.607652349,124,0.0,0,6.088149267,0,0,67.46996005,0.0,6384,83.94581904,64775.5,6.048727562000001,464,43.2,527.9733516,402.68266850000003,1.978683389,4.906557524,0.0,0.0,0.8859605290000001,0.9146384679999999,0.362801066,0.027252695,0.8348318440000001,8.757684297,1.3570617440000001,4447,5093,5611,3432,3932,4409,1930,2226,2553,3922,4491,4994,4429,5072,5588,3418,3916,4391,1777,2049,2350,3906,4473,4974,0.010369952,0.005459475,0.001865575,0.00036599800000000003,0.0,-0.004241831,97164.5074,4049.388538,26745.39922,8234.075784999999
14,51202060310,94.99850312,56.63021302,0.372246168,57.08935281,2.4841194152832,8.175426039,1.3452501419999998,1.0669899729999999,0.7035646740000001,0.006983043,0.060913767,15.41178497,63,0.399550859,6,0.651059889,0,20,147.932847,8.766183257,23299,245.256496,59298.0,12.86336058,2559,37.9,293.5971397,210.55868040000001,1.032412602,0.8284084420000001,0.0,0.0,4.5929631539999995,0.472015013,0.043854807999999995,0.0071398519999999995,28.7306219,48.18688634,0.440828741,4950,5620,6535,3787,4381,5115,2110,2523,2973,4346,4981,5805,4930,5597,6508,3771,4363,5094,1942,2323,2737,4328,4961,5781,0.054270281,0.033247325,0.012388845,0.002908145,0.0005698540000000001,-0.024802092,122796.6773,8072.069151000001,54094.07357000001,35378.58939
15,51202040504,97.85363164,76.81198046,0.20841495899999998,40.64350243,1.2192679643631001,6.626160308999999,1.684541035,0.956044815,0.44869055700000005,0.006133794000000001,0.03885701,11.98480408,262,3.213454446,314,1.087102498,0,41,323.50944460000005,16.93028683,86562,884.6069231,79536.0,66.48705716,8165,40.24,331.90770299999997,246.7202095,1.2792159159999998,2.541483316,0.0,0.0,8.74181384,9.23755733,3.19651024,0.539782909,8.200210033,54.0588988,6.273349285,4757,5357,5820,3678,4226,4753,2079,2473,2926,4200,4781,5285,4737,5335,5796,3663,4209,4733,1914,2277,2694,4183,4761,5263,0.031999643,0.019277875,0.009013347,0.003171707,0.0007274769999999999,-0.01158619,170785.5604,4520.668877,83940.20155,41361.00425
16,51201050405,59.49850896,42.93102393,0.405670524,27.4124223,0.82349294424057,6.305372116,1.380375933,0.527956736,0.668213678,0.0043474709999999995,0.014472573,3.0677697989999997,28,0.031126346000000003,5,0.08133334099999999,0,7,94.23580121,11.66884547,16541,278.00696669999996,58241.0,9.647300581,-1269,43.13333333,366.79697819999996,373.36257439999997,2.019629621,4.633569484,0.0,0.0,2.676070724,0.941936102,0.10843343800000001,0.009899998,2.114036013,52.44643232,0.8581151370000001,4751,5357,6242,3659,4164,4914,2117,2451,2858,4204,4761,5563,4731,5335,6217,3644,4147,4894,1949,2256,2631,4187,4741,5540,0.047757630999999995,0.019048207,0.006935934,0.002303979,0.000511824,-0.017482892,157438.9218,9090.480312,27740.24844,12818.90374
17,51201040405,84.82465129999999,56.611703799999994,0.332597894,50.08367743,1.252826333046,3.438747822,3.022148304,0.863928765,0.139405072,0.01456451,0.04326873,0.795260709,9,0.022388997999999997,9,0.27606772,0,14,125.93631040000001,12.96579014,20186,237.97327420000002,56397.5,6.106715348,-293,40.325,471.3519659,403.99589289999994,1.197738905,1.0359104209999999,0.0,0.0,3.5030060310000004,0.487952946,0.09692427599999999,0.023559608,5.485140309,73.84447309999999,0.514552176,4644,5269,6034,3601,4093,4739,2051,2353,2746,4108,4665,5370,4625,5247,6009,3586,4076,4720,1888,2166,2528,4091,4646,5348,0.029105838,0.012484114,0.005132655,0.001681182,0.000378924,-0.00966345,97869.62522,8115.4996599999995,55934.3215,435.59227139999996
18,71200011009,50.9143242,45.06301725,0.31507164,49.74500274,1.1394203901291,10.22544548,0.787395292,1.0077346329999999,2.053640836,0.004864825,0.050129762,0.725535844,11,0.0,0,0.32035764899999997,0,10,83.11326388,13.23531794,20279,398.2965564,77574.25,14.67170608,193,40.45,349.6925723,300.77644669999995,2.012479442,5.298211498,0.0,0.0,1.247150018,1.509784816,0.09451885300000001,0.0027,2.616109982,38.88044537,1.253231049,5262,5970,7122,3935,4497,5383,2104,2446,2873,4587,5221,6218,5240,5946,7093,3919,4479,5361,1937,2252,2645,4568,5200,6193,0.015479231000000001,0.010984323999999998,0.004402799000000001,0.000935258,0.000119033,-0.007556849,155201.2747,8490.022106,50369.96439,44545.92422
19,51201010404,54.61951662,40.92958533,0.40971609700000006,26.13746429,1.0016790628433,2.964263293,2.813275146,1.030860052,0.160873941,0.008817525,0.026944067999999998,4.01034332,1,0.020693185,0,0.29718613899999996,0,10,96.65845871,6.362730702,10613,194.30783459999998,50018.5,5.162989668,830,49.1,366.01484819999996,229.48950449999998,0.612188372,0.129823101,0.0,0.0,2.08366274,0.554772554,0.10719259699999999,0.011571024,4.328571209,45.51939835,0.715778172,4257,4860,5517,3346,3828,4422,1943,2244,2650,3789,4328,4960,4239,4840,5494,3332,3812,4404,1789,2066,2440,3773,4310,4940,0.03763384,0.019676598,0.00586932,0.001948092,0.000457805,-0.01581215,26444.26275,7936.049939,11373.21091,0.0
20,41000050104,49.70929398,32.29300781,0.599005022,42.6173172,0.91713112592697,5.417131256,1.468603295,1.268350496,0.59033852,0.007867138000000001,0.054053695,2.801675253,53,0.42869103,24,0.196536541,0,15,82.88993144,0.0,11735,236.0725543,65453.0,24.54269418,387,47.2,178.1960604,131.0529194,1.398799071,2.470908988,0.0,0.0,2.186150203,1.175754403,0.251929842,0.059729965999999995,2.800362873,31.47283491,1.5039381980000002,4315,4978,5561,3335,3845,4373,1877,2180,2535,3807,4389,4952,4297,4958,5538,3321,3829,4355,1728,2007,2334,3791,4371,4932,0.023051781,0.014715365,0.005306505,0.001443676,0.00021564700000000002,-0.011545131,138466.6312,10141.50353,47932.40635,75406.57905
21,51201111512,80.52982866,67.64560039,0.221150297,50.05724174,1.5100531578063998,4.396862181,2.302982267,1.420557715,0.240065046,0.011384765,0.071109201,0.0,0,0.0,0,0.589329455,0,14,142.92768590000003,7.215880395,14733,182.9508425,49885.0,5.51348497,-469,35.0,277.7404351,168.1152126,0.768884263,0.606448038,5.208829417,132.6886,4.238875503,0.912682353,0.243613738,0.04504105,9.138206689,61.59075209,0.9503279920000001,4955,5644,6473,3864,4459,5207,2231,2632,3158,4394,5038,5831,4935,5621,6447,3848,4441,5186,2054,2423,2907,4376,5017,5807,0.031876798,0.018497857,0.009203653000000001,0.0025216979999999997,0.000453403,-0.012338805,32511.37779,14742.63743,15926.63582,0.0
22,50902030505,60.63154929,51.33679986,0.289101899,54.74356322,3.4932057857512997,3.243341004,2.7090173060000002,1.509252129,0.17349483899999998,0.016878757,0.082621839,6.944761522,20,0.0,0,0.516888071,0,8,86.32401363,1.981362534,14588,240.6008122,59858.666670000006,7.026045104,-214,41.3,225.4787127,179.3016757,1.448266474,1.97902555,0.0,0.0,2.674772915,0.362539149,0.025256574,0.005227682,23.176584,25.93608238,0.41968342700000005,4382,5031,5919,3525,4101,4815,2113,2509,2948,3950,4567,5365,4364,5010,5895,3510,4084,4795,1945,2310,2714,3934,4548,5343,0.070008297,0.031921299,0.013533721,0.002053692,0.00040535699999999996,-0.026801283,117006.4673,8650.778763,35177.935710000005,46140.47832
23,51202030508,52.2815025,36.67061978,0.488563956,51.90410636,1.5820181369781003,3.0049230839999996,2.71516189,1.438608555,0.172710468,0.017273023000000002,0.074669691,7.106248797,13,0.0,0,0.177580598,0,15,87.92001969,0.0,22156,423.78277099999997,69445.0,6.15896607,-882,39.45,236.91580980000003,164.34920669999997,1.12684183,1.867733919,0.0,0.0,2.155325334,0.521928465,0.029423828,0.0018,4.499383151,43.61627015,0.580352545,5232,5844,6683,3973,4529,5264,2187,2592,3088,4576,5162,5955,5211,5820,6656,3957,4510,5242,2013,2386,2843,4557,5141,5931,0.074632769,0.025081992999999997,0.009854644000000001,0.003042267,0.000671547,-0.021307957000000002,134561.7032,2027.278879,13854.61579,3977.3007030000003
24,51202011107,48.55299505,52.03398018,0.225347007,49.97477722,2.5354316234589,3.236436013,2.429383328,1.017343603,0.21573371600000002,0.015441298999999999,0.05084152,6.106818525,129,0.42099604,19,1.250679828,0,11,282.0424201,7.749211302999999,68783,1416.658229,109253.75,80.53056245,6329,38.8625,360.9620145,254.2304808,0.98050579,0.728770967,0.670772061,243.2454,11.26352736,8.014209285,4.293282733,1.493662073,8.646779404,6.641344328,15.29079056,4964,5558,6165,3803,4341,4941,2123,2506,2952,4365,4934,5544,4944,5535,6140,3787,4323,4921,1954,2307,2718,4347,4914,5521,0.0,0.0,0.0,0.0,0.0,0.0,208890.4065,3992.5145060000004,32767.618980000003,23024.18107
25,51201100407,32.26708242,33.84469751,0.353987795,63.47100429,1.8926177024841002,2.7783150819999998,2.307030904,1.016952178,0.239223199,0.022845143,0.06454697599999999,4.67173931,16,0.0,0,0.098644805,0,3,43.49214338,1.475949521,15922,493.44405520000004,51261.25,8.274686769,-777,39.4,261.0085078,197.494944,0.992593745,0.781658002,0.0,0.0,1.291111483,0.30124908699999997,0.060805654,0.050620337,1.308463448,23.26726284,0.784466386,5121,5718,6235,3926,4456,4986,2194,2561,2975,4501,5068,5601,5100,5695,6210,3910,4438,4966,2020,2358,2739,4482,5047,5578,0.052704047000000004,0.023400729,0.008926217,0.002567434,0.000570545,-0.018955192,106984.45800000001,32142.853069999997,21655.34214,20458.27276
26,51201070103,62.20962493,46.97727285,0.354235306,13.47201124,0.51870393753052,7.380898516,1.20579816,0.683700237,0.8757111609999999,0.001825254,0.009210817,5.079197887,61,0.0,0,0.02998946,0,10,111.6978347,10.42031197,12431,199.82438430000002,57160.333329999994,13.24553879,-683,40.7,492.14232450000003,307.8325667,0.706064247,0.457008174,0.0,0.0,2.908608909,1.011349085,0.23295621800000002,0.067584557,0.635599968,56.5930264,1.1055135729999999,4783,5403,6195,3682,4216,4908,2115,2477,2879,4227,4808,5538,4763,5381,6170,3667,4199,4888,1947,2280,2650,4210,4788,5515,0.075826977,0.033614043999999996,0.009628737,0.002065554,0.00043898099999999996,-0.030010513,151331.3195,7898.103878,31843.29968,25872.87531
27,50800030302,42.07955385,43.39471932,0.280806543,66.63837776,1.4561430215836,3.28657549,2.227137397,1.361725737,0.256694225,0.020275931,0.090743194,1.898284394,13,0.23915018600000001,3,0.12924486300000002,0,8,56.97468016,6.5934271429999995,9277,220.463364,54367.666670000006,9.862271864,-162,40.96666667,235.2531265,210.7055628,1.559673387,2.559676459,0.0,0.0,1.736304528,0.336801405,0.049180065,0.015734863,4.559433417,32.14363383,0.536759019,4075,4684,5497,3315,3843,4506,2022,2378,2786,3693,4264,4999,4058,4665,5475,3301,3827,4487,1861,2189,2565,3678,4246,4979,0.049498284000000004,0.023581391,0.010929108,0.002369314,0.000564083,-0.017390133999999998,110317.8637,2439.866361,31011.4035,29235.90009
28,51201010502,62.04976777,49.03403847,0.32430578600000004,22.87497494,0.8860667347908001,4.998567831,1.778195675,1.22739391,0.40267161799999995,0.004576306,0.028076605,8.612933238,24,0.086015365,2,0.38763784799999995,0,10,143.69025200000002,0.0,10613,171.0401244,50018.5,6.510902691,830,49.1,263.2874429,173.1363665,0.855681017,-0.055944078,0.0,0.0,2.7397417710000003,0.46979065700000006,0.078293149,0.0066913319999999995,3.556418106,50.82570728,0.58899641,4268,4871,5519,3343,3822,4411,1935,2231,2635,3791,4330,4955,4250,4851,5496,3329,3806,4393,1781,2054,2426,3775,4312,4935,0.022857439,0.009757871,0.004517499,0.001681719,0.000459918,-0.007965764,48145.02777,4935.969529999999,8062.423543999999,1609.377666
29,51402010404,80.36862306,50.27824311,0.399517865,95.5307264,6.9579873085022,3.862110548,2.619229916,1.613136591,0.185593548,0.024735367999999997,0.15410411,11.35648607,42,0.0,0,0.662078176,2,8,104.248098,0.0,19971,248.4924992,66538.33333,8.199717437999999,-326,35.76666667,232.886804,131.6299813,0.44883578799999996,-0.302117209,0.0,0.0,3.7264762260000004,0.44556971700000003,0.08934553699999999,0.013237872,30.88611252,15.63504372,0.463674456,5003,5846,7047,3915,4604,5549,2265,2691,3225,4443,5209,6280,4982,5822,7018,3899,4585,5526,2085,2477,2969,4425,5188,6254,0.054672483,0.034350499,0.011916184,0.003310485,0.00033494199999999997,-0.02564562,153913.2417,5314.803181,18633.00624,10.35047805
30,51201050504,49.14318676,53.70281989,0.21413073,51.94382889,0.6467133164405799,8.402081819,0.94145553,0.671997451,1.436516098,0.006182256999999999,0.034906121,0.05211478,6,0.0,0,0.015033234,0,6,89.48679813,3.431804402,6535,132.97875919999998,56239.5,6.043564115,-326,41.15,460.2939805,521.5737295,2.396930652,6.9370699270000005,0.0,0.0,2.271924035,0.31411005,0.075423865,0.020004911,1.185274762,44.77349189,0.520339191,4836,5452,6254,3745,4262,4924,2150,2490,2861,4282,4851,5574,4816,5430,6228,3730,4244,4904,1979,2292,2634,4264,4831,5551,0.05314564,0.023908618,0.006957604,0.0021102729999999997,0.00049352,-0.020036748,97983.69206,21652.56682,16813.41015,2766.651445
31,51201061003,49.74216729,57.06804686,0.191932513,18.17613369,0.8553272485733001,3.168855598,2.511394634,1.5660280969999998,0.20187391,0.0057358669999999995,0.028464336,0.0,0,0.0,0,0.072536474,0,6,70.26596953,2.3555029999999997,3330,66.94521332,50081.0,2.75420247,-883,38.6,335.30010830000003,202.78438540000002,0.8918782259999999,1.968046788,0.0,0.0,1.491797583,0.745546281,0.019081714,0.002607093,5.721381981,39.99063012,0.71300149,5016,5687,6508,3838,4379,5060,2123,2457,2861,4413,5019,5763,4995,5664,6481,3822,4361,5039,1954,2262,2634,4395,4998,5739,0.020002365,0.012985497,0.005926698,0.002667369,0.00117661,-0.00832803,96851.85185,3793.195556,0.0,0.0
32,51201060901,65.74119372,49.69935624,0.334461338,18.80971531,0.9770838022232099,3.554936058,2.5736059890000003,1.707216452,0.19223214,0.005291154,0.032112255,0.19722992399999997,2,0.0,0,0.051693752,0,3,94.38404440000001,1.4813990280000002,9849,149.8147424,50491.0,6.753756281,-1280,40.36666667,248.62242379999998,182.01405269999998,1.13679684,1.223999389,0.0,0.0,2.080756705,1.316028212,0.18898650600000003,0.245986628,5.331004835,54.50972727,1.396665454,4956,5616,6402,3813,4348,5005,2127,2460,2863,4370,4967,5686,4936,5593,6376,3797,4330,4984,1958,2265,2636,4352,4947,5663,0.014079063999999999,0.007326458,0.003644932,0.001944999,0.0010146369999999999,-0.00492945,82574.7407,10827.76094,15382.727509999999,9591.507614
33,71200010702,78.95071984,62.98096039,0.250119413,56.92270911,1.1148312091827,3.73336151,2.6855488760000004,1.1782744729999999,0.176540356,0.015247038999999999,0.067070575,15.201399599999998,26,0.0,0,2.406722104,1,5,239.4633318,7.912537985,23942,303.2524599,62546.333329999994,15.93399025,465,39.65,408.1218475,294.2518381,1.2290762259999999,1.464707432,0.0,0.0,5.064668152,1.3760183469999998,0.16237902199999998,0.016174788,12.64142523,49.13493271,1.036659598,5048,5769,6540,3837,4398,5070,2099,2431,2857,4422,5063,5782,5027,5745,6513,3821,4380,5049,1932,2238,2630,4404,5042,5758,0.010768126000000001,0.006656253000000001,0.0033411240000000004,0.0018680379999999998,0.001083152,-0.004290162,121487.7862,10431.37798,20954.15456,1614.459949
